location,items
Grand Hall,Black lens - 10; white flowers - 20; candles - 15
Garden Terrace,white flowers - 30; balloons - 50
Rooftop Deck,candles - 40; balloons - 12
Beach Pavilion,white flowers - 5; unicorn hair garland - 8
Ballroom,Black lens - 2; candles - 3; balloons - 4
Vineyard Courtyard,red roses - 25; tulips - 15; string lights - 10
Lakeside Marquee,lanterns - 20; table cloths - 12; chair covers - 12
Industrial Loft,dance floor tile - 30; DJ speaker - 2; microphone - 3
Botanical Greenhouse,centerpieces - 8; fairy lights - 15; bouquet holder - 8
Historic Ballroom,champagne glasses - 100; wine glasses - 80; dinner plates - 90
Barn Venue,red carpet - 5; welcome sign - 1; seating chart - 1
Chateau Terrace,cake stand - 3; guest book - 1; place cards - 90
Skyline Rooftop,arch decoration - 2; projector - 1; confetti - 10
Seaside Cabana,napkins - 200; cutlery sets - 90; dinner plates - 90
